molecular_type,mir_135b_tumor,mir_135b_plasma,mir_145_tumor,mir_145_plasma,miR_195b_tumor,miR_195b_plasma,mir_331_tumor,mir_331_plasma
triplo_negativo,1.809,2.7769,0.9786,0.9455,1.4609,1.9152,1.2621,1.1992
triplo_negativo,1.8097,2.7777,0.9786,0.9273,1.5444,2.0247,1.2631,1.2002
triplo_negativo,1.809,2.6423,0.9786,0.998,1.7496,2.2936,2.4621,2.3395
triplo_negativo,2.3695,2.6399,0.9786,0.9208,1.6031,2.1015,2.1645,2.0783
triplo_negativo,1.9054,2.6405,0.9748,0.998,1.8081,2.3704,2.4634,2.3654
triplo_negativo,1.8248,2.6406,0.9748,0.9179,1.6171,2.12,2.0796,1.9824
triplo_negativo,1.8798,2.6403,0.9749,0.9455,1.6394,2.1492,2.4621,2.3641
triplo_negativo,1.8798,2.6423,0.9748,0.9455,1.8001,2.3599,2.462,2.3635
triplo_negativo,1.8798,2.3224,0.9796,0.9797,1.6447,2.1561,2.308,2.2147
triplo_negativo,1.2663,2.3423,0.9796,0.9821,1.587,2.0805,2.2861,2.1663
triplo_negativo,1.8248,2.3254,0.9796,0.9,1.5248,1.9989,1.2635,1.2133
triplo_negativo,1.8248,2.3285,0.9711,0.962,1.5643,2.0508,1.2621,1.2119
triplo_negativo,1.8248,2.3254,0.9711,0.9879,1.5024,1.9695,2.4622,2.3642
triplo_negativo,1.8248,2.3058,0.9783,0.9653,1.6609,2.1773,1.2623,1.2121
triplo_negativo,1.9549,2.3224,0.9783,0.9644,1.5234,1.9971,1.2626,1.2124
triplo_negativo,1.9549,2.3637,0.9782,0.9632,1.6897,2.2151,2.4626,2.3646
triplo_negativo,1.9549,2.2986,0.9782,0.9798,1.5928,2.0881,2.4621,2.3641
triplo_negativo,2.0955,2.3655,0.9782,0.9233,1.6753,2.1962,2.1526,2.0669
triplo_negativo,2.0491,2.3687,0.9781,0.9737,1.6147,2.1168,2.094,1.9627
triplo_negativo,1.9549,2.351,0.9781,0.9764,1.5917,2.0866,2.4621,2.3641
triplo_negativo,1.9549,2.3514,0.975,0.9754,1.6118,2.1131,2.315,2.2229
triplo_negativo,1.9549,2.3193,0.975,0.9749,1.4417,1.89,2.4619,2.3636
triplo_negativo,1.9549,2.3514,1.0164,0.9879,1.6436,2.1546,1.2621,1.2118
triplo_negativo,1.9054,2.3101,1.0153,0.977,1.6378,2.1471,1.2622,1.2119
triplo_negativo,1.9054,2.351,1.0159,0.9787,1.5554,2.0391,1.2822,1.2024
triplo_negativo,1.966,2.3514,1.0162,0.9,1.5216,1.9948,1.2821,1.2023
